split,filepath,label,shape,color_name,color_rgb,is_training_shortcut_aligned,object_size,center_x,center_y,rotation_degrees
train_shortcut,train_shortcut/circle/train_shortcut_circle_00094_blue.png,0,circle,blue,"(31, 92, 238)",1,24,34.642,39.542,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00095_blue.png,0,circle,blue,"(53, 90, 209)",1,24,14.751,25.692,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00096_blue.png,0,circle,blue,"(56, 95, 207)",1,24,44.401,22.759,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00097_blue.png,0,circle,blue,"(52, 105, 207)",1,24,45.339,40.849,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00098_blue.png,0,circle,blue,"(41, 93, 212)",1,19,32.419,16.561,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00099_blue.png,0,circle,blue,"(59, 84, 224)",1,23,40.186,43.482,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00100_blue.png,0,circle,blue,"(36, 87, 208)",1,20,22.239,18.94,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00101_blue.png,0,circle,blue,"(36, 76, 213)",1,30,35.838,30.919,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00102_blue.png,0,circle,blue,"(63, 100, 238)",1,28,36.33,35.985,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00103_blue.png,0,circle,blue,"(47, 81, 230)",1,19,30.757,37.255,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00104_blue.png,0,circle,blue,"(44, 75, 224)",1,26,17.522,30.699,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00105_red.png,0,circle,red,"(204, 30, 50)",0,22,15.916,45.842,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00106_blue.png,0,circle,blue,"(32, 104, 226)",1,25,34.731,47.444,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00107_blue.png,0,circle,blue,"(29, 100, 238)",1,28,22.024,35.36,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00108_blue.png,0,circle,blue,"(59, 81, 205)",1,25,18.519,45.57,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00109_blue.png,0,circle,blue,"(48, 77, 234)",1,28,21.522,23.928,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00110_blue.png,0,circle,blue,"(55, 100, 235)",1,26,35.733,27.373,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00111_blue.png,0,circle,blue,"(45, 96, 228)",1,30,27.151,34.937,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00112_blue.png,0,circle,blue,"(48, 76, 223)",1,19,34.319,27.463,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00113_blue.png,0,circle,blue,"(43, 81, 223)",1,19,35.31,17.657,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00114_blue.png,0,circle,blue,"(49, 91, 227)",1,20,35.802,49.52,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00115_blue.png,0,circle,blue,"(46, 107, 226)",1,28,41.333,42.022,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00116_blue.png,0,circle,blue,"(60, 77, 229)",1,26,27.302,27.328,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00117_blue.png,0,circle,blue,"(38, 85, 223)",1,30,31.588,23.796,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00118_blue.png,0,circle,blue,"(35, 81, 206)",1,22,45.088,16.843,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00119_blue.png,0,circle,blue,"(61, 105, 204)",1,28,26.776,40.522,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00120_blue.png,0,circle,blue,"(35, 96, 211)",1,20,19.234,39.714,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00121_blue.png,0,circle,blue,"(37, 100, 204)",1,24,27.115,39.905,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00122_blue.png,0,circle,blue,"(55, 90, 230)",1,21,33.292,24.76,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00123_blue.png,0,circle,blue,"(57, 84, 225)",1,28,46.308,47.502,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00124_blue.png,0,circle,blue,"(56, 90, 226)",1,26,32.934,47.853,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00125_blue.png,0,circle,blue,"(39, 80, 218)",1,18,37.93,47.713,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00126_blue.png,0,circle,blue,"(62, 78, 235)",1,19,23.403,42.525,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00127_blue.png,0,circle,blue,"(44, 100, 234)",1,20,45.242,15.669,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00128_blue.png,0,circle,blue,"(41, 100, 224)",1,18,28.426,27.651,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00129_blue.png,0,circle,blue,"(50, 87, 226)",1,19,26.997,13.128,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00130_blue.png,0,circle,blue,"(33, 93, 211)",1,20,13.532,48.696,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00131_blue.png,0,circle,blue,"(57, 80, 232)",1,25,35.922,45.799,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00132_blue.png,0,circle,blue,"(28, 88, 215)",1,20,33.952,41.089,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00133_blue.png,0,circle,blue,"(60, 99, 209)",1,30,25.643,26.035,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00134_blue.png,0,circle,blue,"(30, 87, 228)",1,28,41.405,30.628,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00135_blue.png,0,circle,blue,"(34, 103, 236)",1,18,37.542,35.152,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00136_blue.png,0,circle,blue,"(36, 90, 229)",1,18,36.822,21.104,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00137_blue.png,0,circle,blue,"(53, 83, 207)",1,26,48.138,17.301,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00138_blue.png,0,circle,blue,"(60, 106, 234)",1,30,46.65,33.625,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00139_blue.png,0,circle,blue,"(51, 102, 204)",1,28,28.38,27.946,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00140_blue.png,0,circle,blue,"(28, 94, 206)",1,23,22.681,37.656,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00141_blue.png,0,circle,blue,"(33, 93, 210)",1,18,25.797,25.219,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00142_blue.png,0,circle,blue,"(38, 101, 232)",1,28,21.833,20.315,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00143_blue.png,0,circle,blue,"(56, 74, 220)",1,21,14.665,20.58,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00144_blue.png,0,circle,blue,"(29, 92, 221)",1,26,28.54,42.724,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00145_blue.png,0,circle,blue,"(57, 88, 204)",1,30,36.407,25.583,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00146_blue.png,0,circle,blue,"(30, 93, 219)",1,19,43.974,29.478,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00147_blue.png,0,circle,blue,"(52, 100, 226)",1,23,49.054,31.863,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00148_blue.png,0,circle,blue,"(58, 95, 235)",1,22,43.444,40.629,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00149_blue.png,0,circle,blue,"(32, 99, 213)",1,26,24.988,18.488,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00150_blue.png,0,circle,blue,"(47, 90, 221)",1,25,35.489,29.488,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00151_blue.png,0,circle,blue,"(55, 94, 230)",1,18,41.526,49.288,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00152_blue.png,0,circle,blue,"(54, 89, 205)",1,19,38.847,28.248,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00153_blue.png,0,circle,blue,"(59, 82, 203)",1,20,45.947,39.124,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00154_blue.png,0,circle,blue,"(55, 74, 210)",1,19,21.44,37.807,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00155_blue.png,0,circle,blue,"(50, 96, 238)",1,18,36.414,39.521,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00156_blue.png,0,circle,blue,"(50, 95, 230)",1,30,19.307,21.131,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00157_blue.png,0,circle,blue,"(50, 97, 222)",1,28,24.918,46.737,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00158_blue.png,0,circle,blue,"(28, 83, 233)",1,26,28.158,34.097,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00159_blue.png,0,circle,blue,"(43, 88, 230)",1,21,50.862,23.852,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00160_blue.png,0,circle,blue,"(58, 84, 209)",1,20,46.113,30.082,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00161_blue.png,0,circle,blue,"(55, 77, 222)",1,28,27.118,18.078,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00162_blue.png,0,circle,blue,"(61, 90, 221)",1,20,40.472,49.093,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00163_blue.png,0,circle,blue,"(38, 95, 234)",1,21,17.612,20.637,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00164_red.png,0,circle,red,"(210, 42, 58)",0,18,26.158,35.036,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00165_blue.png,0,circle,blue,"(56, 107, 210)",1,27,44.296,18.104,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00166_blue.png,0,circle,blue,"(52, 102, 235)",1,24,41.69,43.64,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00167_blue.png,0,circle,blue,"(31, 80, 222)",1,28,18.373,30.907,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00168_blue.png,0,circle,blue,"(60, 94, 210)",1,30,33.539,34.634,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00169_blue.png,0,circle,blue,"(35, 99, 234)",1,18,45.918,32.76,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00170_blue.png,0,circle,blue,"(46, 82, 212)",1,23,47.651,22.117,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00171_blue.png,0,circle,blue,"(60, 90, 207)",1,22,20.459,49.341,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00172_blue.png,0,circle,blue,"(44, 80, 221)",1,27,33.071,32.082,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00173_blue.png,0,circle,blue,"(37, 81, 212)",1,28,35.983,44.864,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00174_blue.png,0,circle,blue,"(48, 108, 204)",1,18,14.411,50.839,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00175_blue.png,0,circle,blue,"(63, 88, 215)",1,30,34.164,35.543,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00176_blue.png,0,circle,blue,"(28, 103, 236)",1,22,37.392,24.48,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00177_blue.png,0,circle,blue,"(42, 97, 221)",1,25,17.481,17.037,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00178_blue.png,0,circle,blue,"(55, 98, 232)",1,25,21.937,35.626,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00179_red.png,0,circle,red,"(222, 47, 49)",0,24,18.708,27.339,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00180_blue.png,0,circle,blue,"(62, 78, 222)",1,21,30.726,23.164,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00181_blue.png,0,circle,blue,"(42, 81, 208)",1,18,23.189,27.134,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00182_blue.png,0,circle,blue,"(53, 87, 212)",1,23,47.615,39.961,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00183_blue.png,0,circle,blue,"(39, 82, 233)",1,26,30.872,44.889,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00184_blue.png,0,circle,blue,"(58, 73, 207)",1,24,32.196,48.801,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00185_blue.png,0,circle,blue,"(40, 94, 205)",1,18,22.817,36.096,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00186_red.png,0,circle,red,"(232, 45, 61)",0,18,46.581,29.099,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00187_blue.png,0,circle,blue,"(43, 95, 227)",1,23,15.629,15.842,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00188_blue.png,0,circle,blue,"(62, 84, 225)",1,26,24.812,28.136,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00189_blue.png,0,circle,blue,"(55, 107, 219)",1,27,37.773,19.802,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00190_blue.png,0,circle,blue,"(33, 97, 225)",1,30,46.604,33.735,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00191_blue.png,0,circle,blue,"(50, 81, 214)",1,27,32.292,32.002,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00192_blue.png,0,circle,blue,"(29, 74, 210)",1,29,26.991,31.212,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00193_blue.png,0,circle,blue,"(56, 81, 234)",1,20,25.119,36.523,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00194_blue.png,0,circle,blue,"(37, 97, 221)",1,27,26.764,42.505,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00195_blue.png,0,circle,blue,"(61, 103, 238)",1,22,31.046,13.632,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00196_blue.png,0,circle,blue,"(48, 79, 228)",1,27,25.846,44.761,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00197_blue.png,0,circle,blue,"(28, 102, 218)",1,28,41.053,40.837,0.0
